"interval_start_utc","interval_end_utc","wind_curtailment_mwh","wind_curtailment_mw","solar_curtailment_mwh","solar_curtailment_mw","total_curtailment_mwh","total_curtailment_mw"
2024-04-29,2024-04-29 01:00:00,0,0,0,0,0,0
2024-04-29 01:00:00,2024-04-29 02:00:00,0,0,0,0,0,0
2024-04-29 02:00:00,2024-04-29 03:00:00,0,0,0,0,0,0
2024-04-29 03:00:00,2024-04-29 04:00:00,0,0,0,0,0,0
2024-04-29 04:00:00,2024-04-29 05:00:00,0,0,0,0,0,0
2024-04-29 05:00:00,2024-04-29 06:00:00,0,0,0,0,0,0
2024-04-29 06:00:00,2024-04-29 07:00:00,0,0,0,0,0,0
2024-04-29 07:00:00,2024-04-29 08:00:00,4,17,325,1072,329,1089
2024-04-29 08:00:00,2024-04-29 09:00:00,73,191,1552,2177,1625,2368
2024-04-29 09:00:00,2024-04-29 10:00:00,163,212,2215,2487,2378,2699
2024-04-29 10:00:00,2024-04-29 11:00:00,126,193,2240,2399,2366,2592
2024-04-29 11:00:00,2024-04-29 12:00:00,65,89,2270,2494,2335,2583
2024-04-29 12:00:00,2024-04-29 13:00:00,37,94,2434,2604,2471,2698
2024-04-29 13:00:00,2024-04-29 14:00:00,85,311,2389,2672,2474,2983
2024-04-29 14:00:00,2024-04-29 15:00:00,207,323,2700,2743,2907,3066
2024-04-29 15:00:00,2024-04-29 16:00:00,176,208,2273,2649,2449,2857
2024-04-29 16:00:00,2024-04-29 17:00:00,241,240,2090,2864,2331,3104
2024-04-29 17:00:00,2024-04-29 18:00:00,62,240,1032,1986,1094,2226
2024-04-29 18:00:00,2024-04-29 19:00:00,0,0,41,139,41,139
2024-04-29 19:00:00,2024-04-29 20:00:00,0,0,0,0,0,0
2024-04-29 20:00:00,2024-04-29 21:00:00,0,0,0,0,0,0
2024-04-29 21:00:00,2024-04-29 22:00:00,0,0,0,0,0,0
2024-04-29 22:00:00,2024-04-29 23:00:00,0,0,0,0,0,0
2024-04-29 23:00:00,2024-04-30,0,0,0,0,0,0
2024-04-30,2024-04-30 01:00:00,7,18,0,0,7,18
2024-04-30 01:00:00,2024-04-30 02:00:00,10,16,0,0,10,16
2024-04-30 02:00:00,2024-04-30 03:00:00,14,17,0,0,14,17
2024-04-30 03:00:00,2024-04-30 04:00:00,8,11,0,0,8,11
2024-04-30 04:00:00,2024-04-30 05:00:00,6,10,0,0,6,10
2024-04-30 05:00:00,2024-04-30 06:00:00,0,2,0,0,0,2
2024-04-30 06:00:00,2024-04-30 07:00:00,0,0,0,0,0,0
2024-04-30 07:00:00,2024-04-30 08:00:00,2,12,420,1570,422,1582
2024-04-30 08:00:00,2024-04-30 09:00:00,3,16,1095,1689,1098,1705
2024-04-30 09:00:00,2024-04-30 10:00:00,0,0,1490,2043,1490,2043
2024-04-30 10:00:00,2024-04-30 11:00:00,1,0,944,1033,945,1033
2024-04-30 11:00:00,2024-04-30 12:00:00,3,3,878,1003,881,1006
2024-04-30 12:00:00,2024-04-30 13:00:00,2,1,1073,1169,1075,1170
2024-04-30 13:00:00,2024-04-30 14:00:00,1,2,1261,1556,1262,1558
2024-04-30 14:00:00,2024-04-30 15:00:00,2,3,1700,1883,1702,1886
2024-04-30 15:00:00,2024-04-30 16:00:00,19,3,1464,1883,1483,1886
2024-04-30 16:00:00,2024-04-30 17:00:00,116,83,1984,2324,2100,2407
2024-04-30 17:00:00,2024-04-30 18:00:00,21,46,1236,2123,1257,2169
2024-04-30 18:00:00,2024-04-30 19:00:00,0,0,41,155,41,155
2024-04-30 19:00:00,2024-04-30 20:00:00,0,0,0,0,0,0
2024-04-30 20:00:00,2024-04-30 21:00:00,0,0,0,0,0,0
2024-04-30 21:00:00,2024-04-30 22:00:00,0,0,0,0,0,0
2024-04-30 22:00:00,2024-04-30 23:00:00,0,0,0,0,0,0
2024-04-30 23:00:00,2024-05-01,0,0,0,0,0,0
2024-05-01,2024-05-01 01:00:00,0,0,0,0,0,0
2024-05-01 01:00:00,2024-05-01 02:00:00,0,0,0,0,0,0
2024-05-01 02:00:00,2024-05-01 03:00:00,0,0,0,0,0,0
2024-05-01 03:00:00,2024-05-01 04:00:00,0,0,0,0,0,0
2024-05-01 04:00:00,2024-05-01 05:00:00,0,0,0,0,0,0
2024-05-01 05:00:00,2024-05-01 06:00:00,0,0,0,0,0,0
2024-05-01 06:00:00,2024-05-01 07:00:00,0,0,0,0,0,0
2024-05-01 07:00:00,2024-05-01 08:00:00,0,0,397,1561,397,1561
2024-05-01 08:00:00,2024-05-01 09:00:00,4,10,1097,2010,1101,2020
2024-05-01 09:00:00,2024-05-01 10:00:00,10,18,1774,2236,1784,2254
2024-05-01 10:00:00,2024-05-01 11:00:00,10,4,1673,1966,1683,1970
2024-05-01 11:00:00,2024-05-01 12:00:00,6,6,1754,2187,1760,2193
2024-05-01 12:00:00,2024-05-01 13:00:00,6,6,2070,2149,2076,2155
2024-05-01 13:00:00,2024-05-01 14:00:00,7,4,2258,2340,2265,2344
2024-05-01 14:00:00,2024-05-01 15:00:00,15,28,2240,2347,2255,2375
2024-05-01 15:00:00,2024-05-01 16:00:00,13,26,2645,2690,2658,2716
2024-05-01 16:00:00,2024-05-01 17:00:00,78,96,2658,2968,2736,3064
2024-05-01 17:00:00,2024-05-01 18:00:00,19,59,1347,2360,1366,2419
2024-05-01 18:00:00,2024-05-01 19:00:00,1,0,70,354,71,354
2024-05-01 19:00:00,2024-05-01 20:00:00,0,0,0,0,0,0
2024-05-01 20:00:00,2024-05-01 21:00:00,0,2,0,0,0,2
2024-05-01 21:00:00,2024-05-01 22:00:00,0,0,0,0,0,0
2024-05-01 22:00:00,2024-05-01 23:00:00,0,0,0,0,0,0
2024-05-01 23:00:00,2024-05-02,0,0,0,0,0,0
2024-05-02,2024-05-02 01:00:00,0,0,0,0,0,0
2024-05-02 01:00:00,2024-05-02 02:00:00,0,0,0,0,0,0
2024-05-02 02:00:00,2024-05-02 03:00:00,0,0,0,0,0,0
2024-05-02 03:00:00,2024-05-02 04:00:00,0,0,0,0,0,0
2024-05-02 04:00:00,2024-05-02 05:00:00,0,0,0,0,0,0
2024-05-02 05:00:00,2024-05-02 06:00:00,0,0,0,0,0,0
2024-05-02 06:00:00,2024-05-02 07:00:00,0,0,0,0,0,0
2024-05-02 07:00:00,2024-05-02 08:00:00,0,0,65,236,65,236
2024-05-02 08:00:00,2024-05-02 09:00:00,0,0,544,609,544,609
2024-05-02 09:00:00,2024-05-02 10:00:00,0,0,696,810,696,810
2024-05-02 10:00:00,2024-05-02 11:00:00,0,0,790,842,790,842
2024-05-02 11:00:00,2024-05-02 12:00:00,0,0,830,867,830,867
2024-05-02 12:00:00,2024-05-02 13:00:00,0,0,1034,1081,1034,1081
2024-05-02 13:00:00,2024-05-02 14:00:00,0,0,691,773,691,773
2024-05-02 14:00:00,2024-05-02 15:00:00,84,241,1292,1735,1376,1976
2024-05-02 15:00:00,2024-05-02 16:00:00,172,242,1656,2001,1828,2243
2024-05-02 16:00:00,2024-05-02 17:00:00,180,303,1851,2483,2031,2786
2024-05-02 17:00:00,2024-05-02 18:00:00,49,120,881,1667,930,1787
2024-05-02 18:00:00,2024-05-02 19:00:00,0,0,69,337,69,337
2024-05-02 19:00:00,2024-05-02 20:00:00,0,0,0,0,0,0
2024-05-02 20:00:00,2024-05-02 21:00:00,0,0,0,0,0,0
2024-05-02 21:00:00,2024-05-02 22:00:00,0,0,0,0,0,0
2024-05-02 22:00:00,2024-05-02 23:00:00,0,0,0,0,0,0
2024-05-02 23:00:00,2024-05-03,0,0,0,0,0,0
2024-05-03,2024-05-03 01:00:00,0,0,0,0,0,0
2024-05-03 01:00:00,2024-05-03 02:00:00,0,0,0,0,0,0
2024-05-03 02:00:00,2024-05-03 03:00:00,0,0,0,0,0,0
2024-05-03 03:00:00,2024-05-03 04:00:00,0,0,0,0,0,0
2024-05-03 04:00:00,2024-05-03 05:00:00,0,0,0,0,0,0
2024-05-03 05:00:00,2024-05-03 06:00:00,0,0,0,0,0,0
2024-05-03 06:00:00,2024-05-03 07:00:00,0,0,0,0,0,0
2024-05-03 07:00:00,2024-05-03 08:00:00,42,130,242,972,284,1102
2024-05-03 08:00:00,2024-05-03 09:00:00,0,0,487,553,487,553
2024-05-03 09:00:00,2024-05-03 10:00:00,0,0,712,877,712,877
