"interval_start_utc","interval_end_utc","market","location","location_type","lmp","energy","congestion","loss"
2024-04-29,2024-04-29 01:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",31.13106,32.21649,-0.01584,-1.06959
2024-04-29 01:00:00,2024-04-29 02:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",29.06117,30.07308,-0.00146,-1.01046
2024-04-29 02:00:00,2024-04-29 03:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",29.68004,30.68581,-0.00848,-0.99729
2024-04-29 03:00:00,2024-04-29 04:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",29.27173,30.26373,-0.0054,-0.9866
2024-04-29 04:00:00,2024-04-29 05:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",31.23394,32.26681,-0.01001,-1.02286
2024-04-29 05:00:00,2024-04-29 06:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",37.13675,38.2661,-0.01581,-1.11354
2024-04-29 06:00:00,2024-04-29 07:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",36.98723,38.57786,-0.03595,-1.55469
2024-04-29 07:00:00,2024-04-29 08:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",7.73459,18.78507,-9.91022,-1.14025
2024-04-29 08:00:00,2024-04-29 09:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-14.01329,1.56206,-15.47085,-0.1045
2024-04-29 09:00:00,2024-04-29 10:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-14.75787,-2.75865,-12.1835,0.18428
2024-04-29 10:00:00,2024-04-29 11:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-16.29252,-10.55958,-6.41825,0.68532
2024-04-29 11:00:00,2024-04-29 12:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-18.64697,-11.00379,-8.31331,0.67013
2024-04-29 12:00:00,2024-04-29 13:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-17.88793,-11.14523,-7.3412,0.5985
2024-04-29 13:00:00,2024-04-29 14:00:00,"DAY_AHEAD_HOURLY","TH_SP15_GEN-APND","Trading Hub",-17.83817,-11.14979,-7.28824,0.59986
