"interval_start_utc","interval_end_utc","market","location","location_type","lmp","energy","congestion","loss"
2024-04-29,2024-04-29 00:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.07737,31.08772,0,-1.01035
2024-04-29 00:15:00,2024-04-29 00:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.39897,31.53748,0,-1.1385
2024-04-29 00:30:00,2024-04-29 00:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",31.04745,32.13023,0,-1.08279
2024-04-29 00:45:00,2024-04-29 01:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.08738,31.13669,0,-1.04931
2024-04-29 01:00:00,2024-04-29 01:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",31.51107,32.56622,0,-1.05515
2024-04-29 01:15:00,2024-04-29 01:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",31.28501,32.41298,0,-1.12797
2024-04-29 01:30:00,2024-04-29 01:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.75442,31.893,0,-1.13858
2024-04-29 01:45:00,2024-04-29 02:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",28.80836,29.93076,0,-1.1224
2024-04-29 02:00:00,2024-04-29 02:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.09701,31.29238,0,-1.19537
2024-04-29 02:15:00,2024-04-29 02:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",29.49444,30.69141,0,-1.19696
2024-04-29 02:30:00,2024-04-29 02:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",29.43917,30.62752,0,-1.18835
2024-04-29 02:45:00,2024-04-29 03:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",27.36944,28.45056,0,-1.08112
2024-04-29 03:00:00,2024-04-29 03:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",26.15524,27.22803,0,-1.07278
2024-04-29 03:15:00,2024-04-29 03:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",26.19316,27.24198,0,-1.04882
2024-04-29 03:30:00,2024-04-29 03:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",28.26854,29.35771,0,-1.08917
2024-04-29 03:45:00,2024-04-29 04:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",29.01096,30.15378,0,-1.14283
2024-04-29 04:00:00,2024-04-29 04:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",24.4602,25.47141,0,-1.01122
2024-04-29 04:15:00,2024-04-29 04:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",25.36011,26.38106,0,-1.02095
2024-04-29 04:30:00,2024-04-29 04:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",26.76999,27.87089,0,-1.1009
2024-04-29 04:45:00,2024-04-29 05:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",36.21161,37.68902,0,-1.47741
2024-04-29 05:00:00,2024-04-29 05:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",28.90811,30.27344,0,-1.36533
2024-04-29 05:15:00,2024-04-29 05:30:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",30.21279,31.56701,0,-1.35422
2024-04-29 05:30:00,2024-04-29 05:45:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",39.08101,40.93967,0,-1.85866
2024-04-29 05:45:00,2024-04-29 06:00:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",49.48917,52.03908,0,-2.54992
2024-04-29 06:00:00,2024-04-29 06:15:00,"REAL_TIME_15_MIN","TH_SP15_GEN-APND","Trading Hub",50.11347,51.95798,0,-1.84451
