"interval_start_utc","interval_end_utc","load"
2024-04-29,2024-04-29 00:05:00,19840
2024-04-29 00:05:00,2024-04-29 00:10:00,20006
2024-04-29 00:10:00,2024-04-29 00:15:00,20075
2024-04-29 00:15:00,2024-04-29 00:20:00,19961
2024-04-29 00:20:00,2024-04-29 00:25:00,19949
2024-04-29 00:25:00,2024-04-29 00:30:00,19874
2024-04-29 00:30:00,2024-04-29 00:35:00,19790
2024-04-29 00:35:00,2024-04-29 00:40:00,19683
2024-04-29 00:40:00,2024-04-29 00:45:00,19601
2024-04-29 00:45:00,2024-04-29 00:50:00,19593
2024-04-29 00:50:00,2024-04-29 00:55:00,19502
2024-04-29 00:55:00,2024-04-29 01:00:00,19404
2024-04-29 01:00:00,2024-04-29 01:05:00,19314
2024-04-29 01:05:00,2024-04-29 01:10:00,19304
2024-04-29 01:10:00,2024-04-29 01:15:00,19222
2024-04-29 01:15:00,2024-04-29 01:20:00,19165
2024-04-29 01:20:00,2024-04-29 01:25:00,19110
2024-04-29 01:25:00,2024-04-29 01:30:00,19069
2024-04-29 01:30:00,2024-04-29 01:35:00,19004
2024-04-29 01:35:00,2024-04-29 01:40:00,18916
2024-04-29 01:40:00,2024-04-29 01:45:00,18847
2024-04-29 01:45:00,2024-04-29 01:50:00,18786
2024-04-29 01:50:00,2024-04-29 01:55:00,18723
2024-04-29 01:55:00,2024-04-29 02:00:00,18689
2024-04-29 02:00:00,2024-04-29 02:05:00,18634
2024-04-29 02:05:00,2024-04-29 02:10:00,18637
2024-04-29 02:10:00,2024-04-29 02:15:00,18645
2024-04-29 02:15:00,2024-04-29 02:20:00,18580
2024-04-29 02:20:00,2024-04-29 02:25:00,18527
2024-04-29 02:25:00,2024-04-29 02:30:00,18534
2024-04-29 02:30:00,2024-04-29 02:35:00,18505
2024-04-29 02:35:00,2024-04-29 02:40:00,18452
2024-04-29 02:40:00,2024-04-29 02:45:00,18430
2024-04-29 02:45:00,2024-04-29 02:50:00,18421
2024-04-29 02:50:00,2024-04-29 02:55:00,18383
2024-04-29 02:55:00,2024-04-29 03:00:00,18353
2024-04-29 03:00:00,2024-04-29 03:05:00,18297
2024-04-29 03:05:00,2024-04-29 03:10:00,18324
2024-04-29 03:10:00,2024-04-29 03:15:00,18391
2024-04-29 03:15:00,2024-04-29 03:20:00,18343
2024-04-29 03:20:00,2024-04-29 03:25:00,18322
2024-04-29 03:25:00,2024-04-29 03:30:00,18361
2024-04-29 03:30:00,2024-04-29 03:35:00,18342
2024-04-29 03:35:00,2024-04-29 03:40:00,18360
2024-04-29 03:40:00,2024-04-29 03:45:00,18359
2024-04-29 03:45:00,2024-04-29 03:50:00,18325
2024-04-29 03:50:00,2024-04-29 03:55:00,18353
2024-04-29 03:55:00,2024-04-29 04:00:00,18380
2024-04-29 04:00:00,2024-04-29 04:05:00,18419
2024-04-29 04:05:00,2024-04-29 04:10:00,18478
2024-04-29 04:10:00,2024-04-29 04:15:00,18586
2024-04-29 04:15:00,2024-04-29 04:20:00,18677
2024-04-29 04:20:00,2024-04-29 04:25:00,18722
2024-04-29 04:25:00,2024-04-29 04:30:00,18746
2024-04-29 04:30:00,2024-04-29 04:35:00,18736
2024-04-29 04:35:00,2024-04-29 04:40:00,18818
2024-04-29 04:40:00,2024-04-29 04:45:00,18907
2024-04-29 04:45:00,2024-04-29 04:50:00,18936
2024-04-29 04:50:00,2024-04-29 04:55:00,18974
2024-04-29 04:55:00,2024-04-29 05:00:00,19043
2024-04-29 05:00:00,2024-04-29 05:05:00,19186
2024-04-29 05:05:00,2024-04-29 05:10:00,19367
2024-04-29 05:10:00,2024-04-29 05:15:00,19569
2024-04-29 05:15:00,2024-04-29 05:20:00,19721
2024-04-29 05:20:00,2024-04-29 05:25:00,19792
2024-04-29 05:25:00,2024-04-29 05:30:00,19890
2024-04-29 05:30:00,2024-04-29 05:35:00,19963
2024-04-29 05:35:00,2024-04-29 05:40:00,20060
2024-04-29 05:40:00,2024-04-29 05:45:00,20202
2024-04-29 05:45:00,2024-04-29 05:50:00,20314
2024-04-29 05:50:00,2024-04-29 05:55:00,20409
2024-04-29 05:55:00,2024-04-29 06:00:00,20488
2024-04-29 06:00:00,2024-04-29 06:05:00,20568
2024-04-29 06:05:00,2024-04-29 06:10:00,20833
2024-04-29 06:10:00,2024-04-29 06:15:00,21048
2024-04-29 06:15:00,2024-04-29 06:20:00,21151
2024-04-29 06:20:00,2024-04-29 06:25:00,21225
2024-04-29 06:25:00,2024-04-29 06:30:00,21290
2024-04-29 06:30:00,2024-04-29 06:35:00,21265
2024-04-29 06:35:00,2024-04-29 06:40:00,21463
2024-04-29 06:40:00,2024-04-29 06:45:00,21578
2024-04-29 06:45:00,2024-04-29 06:50:00,21590
2024-04-29 06:50:00,2024-04-29 06:55:00,21652
2024-04-29 06:55:00,2024-04-29 07:00:00,21685
2024-04-29 07:00:00,2024-04-29 07:05:00,21694
2024-04-29 07:05:00,2024-04-29 07:10:00,21855
2024-04-29 07:10:00,2024-04-29 07:15:00,22145
2024-04-29 07:15:00,2024-04-29 07:20:00,22152
2024-04-29 07:20:00,2024-04-29 07:25:00,22166
2024-04-29 07:25:00,2024-04-29 07:30:00,22122
2024-04-29 07:30:00,2024-04-29 07:35:00,22118
2024-04-29 07:35:00,2024-04-29 07:40:00,22011
2024-04-29 07:40:00,2024-04-29 07:45:00,21934
2024-04-29 07:45:00,2024-04-29 07:50:00,21886
2024-04-29 07:50:00,2024-04-29 07:55:00,21754
2024-04-29 07:55:00,2024-04-29 08:00:00,21551
2024-04-29 08:00:00,2024-04-29 08:05:00,21447
2024-04-29 08:05:00,2024-04-29 08:10:00,21481
2024-04-29 08:10:00,2024-04-29 08:15:00,21400
2024-04-29 08:15:00,2024-04-29 08:20:00,21342
2024-04-29 08:20:00,2024-04-29 08:25:00,21233
2024-04-29 08:25:00,2024-04-29 08:30:00,21080
2024-04-29 08:30:00,2024-04-29 08:35:00,20863
2024-04-29 08:35:00,2024-04-29 08:40:00,20807
2024-04-29 08:40:00,2024-04-29 08:45:00,20601
2024-04-29 08:45:00,2024-04-29 08:50:00,20481
2024-04-29 08:50:00,2024-04-29 08:55:00,20289
2024-04-29 08:55:00,2024-04-29 09:00:00,20150
2024-04-29 09:00:00,2024-04-29 09:05:00,20008
2024-04-29 09:05:00,2024-04-29 09:10:00,19964
2024-04-29 09:10:00,2024-04-29 09:15:00,19855
2024-04-29 09:15:00,2024-04-29 09:20:00,19782
2024-04-29 09:20:00,2024-04-29 09:25:00,19602
2024-04-29 09:25:00,2024-04-29 09:30:00,19464
2024-04-29 09:30:00,2024-04-29 09:35:00,19238
2024-04-29 09:35:00,2024-04-29 09:40:00,19049
2024-04-29 09:40:00,2024-04-29 09:45:00,18898
2024-04-29 09:45:00,2024-04-29 09:50:00,18706
2024-04-29 09:50:00,2024-04-29 09:55:00,18655
2024-04-29 09:55:00,2024-04-29 10:00:00,18594
2024-04-29 10:00:00,2024-04-29 10:05:00,18469
2024-04-29 10:05:00,2024-04-29 10:10:00,18421
2024-04-29 10:10:00,2024-04-29 10:15:00,18347
2024-04-29 10:15:00,2024-04-29 10:20:00,18186
2024-04-29 10:20:00,2024-04-29 10:25:00,18081
2024-04-29 10:25:00,2024-04-29 10:30:00,17972
2024-04-29 10:30:00,2024-04-29 10:35:00,17863
2024-04-29 10:35:00,2024-04-29 10:40:00,17735
2024-04-29 10:40:00,2024-04-29 10:45:00,17611
2024-04-29 10:45:00,2024-04-29 10:50:00,17567
2024-04-29 10:50:00,2024-04-29 10:55:00,17494
2024-04-29 10:55:00,2024-04-29 11:00:00,17350
2024-04-29 11:00:00,2024-04-29 11:05:00,17271
2024-04-29 11:05:00,2024-04-29 11:10:00,17222
2024-04-29 11:10:00,2024-04-29 11:15:00,17033
