interval_start_utc,interval_end_utc,solare,batterie,import - export,produzione_rimanente,total_gross_mix,total_net_mix
2024-04-29T07:00:00Z,2024-04-29T07:05:00Z,99,604,4770,13863,19336,19336
2024-04-29T07:05:00Z,2024-04-29T07:10:00Z,100,1033,4549,13921,19603,19603
2024-04-29T07:10:00Z,2024-04-29T07:15:00Z,102,1117,4350,14154,19723,19723
2024-04-29T07:15:00Z,2024-04-29T07:20:00Z,99,1055,4178,14200,19532,19532
2024-04-29T07:20:00Z,2024-04-29T07:25:00Z,94,971,4165,14267,19497,19497
2024-04-29T07:25:00Z,2024-04-29T07:30:00Z,90,910,4214,14245,19459,19459
2024-04-29T07:30:00Z,2024-04-29T07:35:00Z,87,891,4251,14237,19466,19466
2024-04-29T07:35:00Z,2024-04-29T07:40:00Z,85,835,4204,14168,19292,19292
2024-04-29T07:40:00Z,2024-04-29T07:45:00Z,85,791,4182,14140,19198,19198
2024-04-29T07:45:00Z,2024-04-29T07:50:00Z,87,726,4147,14210,19170,19170
2024-04-29T07:50:00Z,2024-04-29T07:55:00Z,86,429,4297,14295,19107,19107
2024-04-29T07:55:00Z,2024-04-29T08:00:00Z,85,353,4350,14226,19014,19014
2024-04-29T08:00:00Z,2024-04-29T08:05:00Z,87,292,4314,14234,18927,18927
2024-04-29T08:05:00Z,2024-04-29T08:10:00Z,91,126,4326,14378,18921,18921
2024-04-29T08:10:00Z,2024-04-29T08:15:00Z,93,8,4399,14406,18906,18906
2024-04-29T08:15:00Z,2024-04-29T08:20:00Z,93,-17,4359,14420,18872,18855
2024-04-29T08:20:00Z,2024-04-29T08:25:00Z,93,-19,4394,14411,18898,18879
2024-04-29T08:25:00Z,2024-04-29T08:30:00Z,94,-28,4303,14424,18821,18793
2024-04-29T08:30:00Z,2024-04-29T08:35:00Z,93,-99,4318,14405,18816,18717
2024-04-29T08:35:00Z,2024-04-29T08:40:00Z,91,-98,4276,14357,18724,18626
2024-04-29T08:40:00Z,2024-04-29T08:45:00Z,92,-150,4302,14312,18706,18556
2024-04-29T08:45:00Z,2024-04-29T08:50:00Z,89,-275,4421,14358,18868,18593
2024-04-29T08:50:00Z,2024-04-29T08:55:00Z,87,-301,4468,14387,18942,18641
2024-04-29T08:55:00Z,2024-04-29T09:00:00Z,80,-226,4482,14282,18844,18618
2024-04-29T09:00:00Z,2024-04-29T09:05:00Z,77,-131,4398,14210,18685,18554
2024-04-29T09:05:00Z,2024-04-29T09:10:00Z,77,-241,4448,14263,18788,18547
2024-04-29T09:10:00Z,2024-04-29T09:15:00Z,76,-264,4493,14252,18821,18557
2024-04-29T09:15:00Z,2024-04-29T09:20:00Z,74,-276,4503,14140,18717,18441
2024-04-29T09:20:00Z,2024-04-29T09:25:00Z,76,-265,4512,14064,18652,18387
2024-04-29T09:25:00Z,2024-04-29T09:30:00Z,80,-232,4428,14121,18629,18397
2024-04-29T09:30:00Z,2024-04-29T09:35:00Z,83,-288,4419,14082,18584,18296
2024-04-29T09:35:00Z,2024-04-29T09:40:00Z,85,-193,4393,14029,18507,18314
2024-04-29T09:40:00Z,2024-04-29T09:45:00Z,86,-143,4411,13974,18471,18328
2024-04-29T09:45:00Z,2024-04-29T09:50:00Z,88,-126,4430,13939,18457,18331
2024-04-29T09:50:00Z,2024-04-29T09:55:00Z,85,-147,4458,13866,18409,18262
2024-04-29T09:55:00Z,2024-04-29T10:00:00Z,81,-92,4471,13830,18382,18290
2024-04-29T10:00:00Z,2024-04-29T10:05:00Z,77,-62,4434,13795,18306,18244
2024-04-29T10:05:00Z,2024-04-29T10:10:00Z,73,-194,4380,13945,18398,18204
2024-04-29T10:10:00Z,2024-04-29T10:15:00Z,71,-226,4358,14042,18471,18245
2024-04-29T10:15:00Z,2024-04-29T10:20:00Z,65,-208,4392,14015,18472,18264
2024-04-29T10:20:00Z,2024-04-29T10:25:00Z,61,-199,4375,14017,18453,18254
2024-04-29T10:25:00Z,2024-04-29T10:30:00Z,59,-207,4324,14049,18432,18225
2024-04-29T10:30:00Z,2024-04-29T10:35:00Z,60,-157,4320,14039,18419,18262
2024-04-29T10:35:00Z,2024-04-29T10:40:00Z,59,-181,4294,14029,18382,18201
2024-04-29T10:40:00Z,2024-04-29T10:45:00Z,61,-278,4318,14008,18387,18109
2024-04-29T10:45:00Z,2024-04-29T10:50:00Z,58,-198,4341,13969,18368,18170
2024-04-29T10:50:00Z,2024-04-29T10:55:00Z,54,-83,4303,13948,18305,18222
2024-04-29T10:55:00Z,2024-04-29T11:00:00Z,54,8,4269,13897,18228,18228
2024-04-29T11:00:00Z,2024-04-29T11:05:00Z,54,99,4233,13816,18202,18202
2024-04-29T11:05:00Z,2024-04-29T11:10:00Z,57,249,4307,13607,18220,18220
2024-04-29T11:10:00Z,2024-04-29T11:15:00Z,56,501,4238,13510,18305,18305
2024-04-29T11:15:00Z,2024-04-29T11:20:00Z,57,577,4223,13527,18384,18384
2024-04-29T11:20:00Z,2024-04-29T11:25:00Z,62,581,4146,13653,18442,18442
2024-04-29T11:25:00Z,2024-04-29T11:30:00Z,64,538,4143,13726,18471,18471
2024-04-29T11:30:00Z,2024-04-29T11:35:00Z,67,465,4174,13781,18487,18487
2024-04-29T11:35:00Z,2024-04-29T11:40:00Z,68,459,4128,13926,18581,18581
2024-04-29T11:40:00Z,2024-04-29T11:45:00Z,69,465,4121,14027,18682,18682
2024-04-29T11:45:00Z,2024-04-29T11:50:00Z,68,494,3995,14152,18709,18709
2024-04-29T11:50:00Z,2024-04-29T11:55:00Z,62,492,3983,14221,18758,18758
2024-04-29T11:55:00Z,2024-04-29T12:00:00Z,61,477,4001,14284,18823,18823
2024-04-29T12:00:00Z,2024-04-29T12:05:00Z,58,530,4107,14272,18967,18967
2024-04-29T12:05:00Z,2024-04-29T12:10:00Z,56,852,3973,14266,19147,19147
2024-04-29T12:10:00Z,2024-04-29T12:15:00Z,58,1145,3951,14204,19358,19358
2024-04-29T12:15:00Z,2024-04-29T12:20:00Z,53,1247,3973,14130,19403,19403
2024-04-29T12:20:00Z,2024-04-29T12:25:00Z,52,1268,4042,14160,19522,19522
2024-04-29T12:25:00Z,2024-04-29T12:30:00Z,50,1064,4230,14229,19573,19573
2024-04-29T12:30:00Z,2024-04-29T12:35:00Z,53,1043,4240,14319,19655,19655
2024-04-29T12:35:00Z,2024-04-29T12:40:00Z,50,1153,4164,14362,19729,19729
2024-04-29T12:40:00Z,2024-04-29T12:45:00Z,51,1270,4194,14324,19839,19839
2024-04-29T12:45:00Z,2024-04-29T12:50:00Z,53,1454,4133,14281,19921,19921
2024-04-29T12:50:00Z,2024-04-29T12:55:00Z,55,1539,4089,14304,19987,19987
