week_hour_start,week_start,hour_start,solare,batterie,import - export,produzione_rimanente,load,solar_curtailment_mw_smooth,lmp_day_ahead_hourly,lmp_real_time_15_min
lunedì 00:00:00,lunedì,00:00:00,128.6,303.4,5556.6,14777.4,20791.2,0,28.850801999999998,26.463114
lunedì 00:05:00,lunedì,00:05:00,125,716,5388.6,14711.6,20938,0,28.850801999999998,26.463114
lunedì 00:10:00,lunedì,00:10:00,122.2,808.8,5347.2,14740.6,21010.4,0,28.850801999999998,26.463114
lunedì 00:15:00,lunedì,00:15:00,121.4,729,5307.6,14738.2,20915.4,0,28.850801999999998,25.068344
lunedì 00:20:00,lunedì,00:20:00,120.6,656,5343.4,14733.6,20870.6,0,28.850801999999998,25.068344
lunedì 00:25:00,lunedì,00:25:00,120.6,545.8,5350.6,14756.4,20793.2,0,28.850801999999998,25.068344
lunedì 00:30:00,lunedì,00:30:00,119,456.8,5368.6,14759.4,20700.2,0,28.850801999999998,24.479198
lunedì 00:35:00,lunedì,00:35:00,117.6,369.8,5424,14689.4,20614.4,0,28.850801999999998,24.479198
lunedì 00:40:00,lunedì,00:40:00,114.8,323,5465.8,14610.2,20525.6,0,28.850801999999998,24.479198
lunedì 00:45:00,lunedì,00:45:00,114.8,283.6,5463.4,14566.8,20455.2,0,28.850801999999998,22.80291
lunedì 00:50:00,lunedì,00:50:00,113.8,209.2,5493,14543.6,20393,0,28.850801999999998,22.80291
lunedì 00:55:00,lunedì,00:55:00,112.6,140.4,5508,14520.6,20316.4,0,28.850801999999998,22.80291
lunedì 01:00:00,lunedì,01:00:00,111.6,112.6,5482.4,14492.6,20223.2,0,27.586952,25.748976
lunedì 01:05:00,lunedì,01:05:00,113,111,5429.6,14495.6,20150,0,27.586952,25.748976
lunedì 01:10:00,lunedì,01:10:00,112.6,113.6,5405,14482.8,20103.8,0,27.586952,25.748976
lunedì 01:15:00,lunedì,01:15:00,112.6,98,5363.6,14478.6,20035.6,0,27.586952,24.569428
lunedì 01:20:00,lunedì,01:20:00,110.2,24,5396,14473,19982.4,0,27.586952,24.569428
lunedì 01:25:00,lunedì,01:25:00,108,-36.2,5415.2,14450,19930,0,27.586952,24.569428
lunedì 01:30:00,lunedì,01:30:00,107,-91,5434.2,14411.6,19857.6,0,27.586952,22.61997
lunedì 01:35:00,lunedì,01:35:00,104.8,-109,5438.4,14373.4,19794,0,27.586952,22.61997
lunedì 01:40:00,lunedì,01:40:00,105.2,-101,5412.6,14342.8,19718.6,0,27.586952,22.61997
lunedì 01:45:00,lunedì,01:45:00,105.4,-150.6,5396.8,14360.4,19648.8,0,27.586952,21.480464
lunedì 01:50:00,lunedì,01:50:00,107.2,-220.2,5439.4,14352.2,19575.8,0,27.586952,21.480464
lunedì 01:55:00,lunedì,01:55:00,108.6,-228,5428.6,14320.2,19529.8,0,27.586952,21.480464
lunedì 02:00:00,lunedì,02:00:00,111.6,-204.2,5374.8,14291.6,19472.4,0,27.037506,24.011174
lunedì 02:05:00,lunedì,02:05:00,111.8,-283.2,5451.8,14287.2,19479.8,0,27.037506,24.011174
lunedì 02:10:00,lunedì,02:10:00,111.6,-278,5448.6,14263.6,19461,0,27.037506,24.011174
lunedì 02:15:00,lunedì,02:15:00,109.8,-299.2,5457,14229,19437,0,27.037506,22.57547
lunedì 02:20:00,lunedì,02:20:00,109,-303.6,5441.6,14200.8,19388.8,0,27.037506,22.57547
lunedì 02:25:00,lunedì,02:25:00,110.2,-299,5388.4,14208.2,19333.6,0,27.037506,22.57547
lunedì 02:30:00,lunedì,02:30:00,112.8,-312.2,5340.6,14195.8,19281,0,27.037506,21.949152
lunedì 02:35:00,lunedì,02:35:00,114,-290,5291.6,14198.2,19240.4,0,27.037506,21.949152
lunedì 02:40:00,lunedì,02:40:00,116,-286.6,5286.8,14177.6,19211.2,0,27.037506,21.949152
lunedì 02:45:00,lunedì,02:45:00,115.6,-297,5268.4,14177.6,19180.8,0,27.037506,20.581941999999998
lunedì 02:50:00,lunedì,02:50:00,114.8,-303,5263.6,14151.2,19144.6,0,27.037506,20.581941999999998
lunedì 02:55:00,lunedì,02:55:00,113.6,-283.8,5233,14144.4,19111.2,0,27.037506,20.581941999999998
lunedì 03:00:00,lunedì,03:00:00,114,-266,5189.2,14137.8,19080.4,0,27.116466,20.42997
lunedì 03:05:00,lunedì,03:05:00,114.6,-245.8,5169.4,14162,19131.6,0,27.116466,20.42997
lunedì 03:10:00,lunedì,03:10:00,113.8,-181.8,5148,14157.8,19156.8,0,27.116466,20.42997
lunedì 03:15:00,lunedì,03:15:00,114.2,-150.4,5127.2,14131.8,19118.2,0,27.116466,20.543716
lunedì 03:20:00,lunedì,03:20:00,115,-124.4,5105.2,14111.6,19082.8,0,27.116466,20.543716
lunedì 03:25:00,lunedì,03:25:00,116.8,-126.2,5104.8,14095,19084,0,27.116466,20.543716
lunedì 03:30:00,lunedì,03:30:00,117.8,-119.6,5119.2,14055.8,19060.8,0,27.116466,20.978562
lunedì 03:35:00,lunedì,03:35:00,115.8,-123.2,5123.2,14035.4,19040.4,0,27.116466,20.978562
lunedì 03:40:00,lunedì,03:40:00,112.8,-136.8,5150.4,13997,18994.4,0,27.116466,20.978562
lunedì 03:45:00,lunedì,03:45:00,109.4,-116.8,5172.4,13962.2,19020.6,0,27.116466,21.270512
lunedì 03:50:00,lunedì,03:50:00,105,-95.2,5199.4,13931.6,19011.4,0,27.116466,21.270512
lunedì 03:55:00,lunedì,03:55:00,101.8,-43.4,5181,13895.2,19070.4,0,27.116466,21.270512
lunedì 04:00:00,lunedì,04:00:00,100.8,-10.8,5199,13826,19081.2,0,29.436482,19.33502
lunedì 04:05:00,lunedì,04:05:00,99.6,-59,5358,13767,19168.2,0,29.436482,19.33502
lunedì 04:10:00,lunedì,04:10:00,97.2,21.6,5403.8,13734,19232.6,0,29.436482,19.33502
lunedì 04:15:00,lunedì,04:15:00,94.2,98.8,5391.4,13710.4,19321,0,29.436482,20.35387
lunedì 04:20:00,lunedì,04:20:00,92,152.4,5375.4,13707.8,19346.2,0,29.436482,20.35387
lunedì 04:25:00,lunedì,04:25:00,87.8,203,5319.8,13726.2,19363.6,0,29.436482,20.35387
lunedì 04:30:00,lunedì,04:30:00,84.6,260.4,5286.4,13722.2,19381.8,0,29.436482,23.08509
lunedì 04:35:00,lunedì,04:35:00,83.4,293.6,5244.4,13791.8,19441,0,29.436482,23.08509
lunedì 04:40:00,lunedì,04:40:00,81.8,328.2,5231.6,13834.8,19499,0,29.436482,23.08509
lunedì 04:45:00,lunedì,04:45:00,80.6,352,5217.6,13873.8,19548.4,0,29.436482,26.905036
lunedì 04:50:00,lunedì,04:50:00,80.6,388.6,5225.8,13877,19592,0,29.436482,26.905036
lunedì 04:55:00,lunedì,04:55:00,81.6,459,5301.2,13792.6,19658.6,0,29.436482,26.905036
lunedì 05:00:00,lunedì,05:00:00,81.6,653.2,5417,13537.6,19738.8,0,34.806468,24.11683
lunedì 05:05:00,lunedì,05:05:00,80.8,1116.6,5321,13364.8,19918.6,3.6999999999999997,34.806468,24.11683
lunedì 05:10:00,lunedì,05:10:00,80.8,1321.6,5340,13339.6,20130.2,7.3999999999999995,34.806468,24.11683
lunedì 05:15:00,lunedì,05:15:00,78,1350,5349.2,13388.4,20243.6,11.1,34.806468,27.154249999999998
lunedì 05:20:00,lunedì,05:20:00,76.6,1353.6,5354.2,13462.8,20316,14.799999999999999,34.806468,27.154249999999998
lunedì 05:25:00,lunedì,05:25:00,76,1253.8,5419.2,13554.2,20389.4,18.5,34.806468,27.154249999999998
lunedì 05:30:00,lunedì,05:30:00,75.4,1244.6,5429,13619.8,20457.2,22.2,34.806468,34.576712
lunedì 05:35:00,lunedì,05:35:00,76,1294,5456.2,13627.6,20539.2,25.900000000000002,34.806468,34.576712
lunedì 05:40:00,lunedì,05:40:00,84.8,1343,5508.4,13604.2,20638.8,29.599999999999998,34.806468,34.576712
lunedì 05:45:00,lunedì,05:45:00,100.8,1413,5446.6,13605.8,20673,33.3,34.806468,38.174178
lunedì 05:50:00,lunedì,05:50:00,135,1413.8,5407.8,13636,20715.4,37,34.806468,38.174178
lunedì 05:55:00,lunedì,05:55:00,194.4,1471.4,5356,13612,20727.6,40.699999999999996,34.806468,38.174178
lunedì 06:00:00,lunedì,06:00:00,301.8,1544.8,5254.2,13577.8,20767.8,44.4,30.922664,42.660038
lunedì 06:05:00,lunedì,06:05:00,477.6,1885.2,4977,13552.2,21049.4,144.36666666666665,30.922664,42.660038
lunedì 06:10:00,lunedì,06:10:00,709.2,2101.8,4710,13558.6,21251.6,244.33333333333331,30.922664,42.660038
lunedì 06:15:00,lunedì,06:15:00,1023.2,2131.2,4455.4,13551.4,21331.8,344.3,30.922664,38.836522
lunedì 06:20:00,lunedì,06:20:00,1432.4,1842.6,4449.4,13504.2,21374.8,444.26666666666665,30.922664,38.836522
lunedì 06:25:00,lunedì,06:25:00,1914.6,1565.2,4376,13433.8,21434,544.2333333333333,30.922664,38.836522
lunedì 06:30:00,lunedì,06:30:00,2464.8,1314.4,4263,13319,21469.6,644.2,30.922664,25.285982
lunedì 06:35:00,lunedì,06:35:00,3065,1117.4,4113.4,13147.6,21549.4,744.1666666666667,30.922664,25.285982
lunedì 06:40:00,lunedì,06:40:00,3713.2,803.8,3981.8,12995.2,21633.4,844.1333333333333,30.922664,25.285982
lunedì 06:45:00,lunedì,06:45:00,4406.4,532,3798,12794.4,21677.6,944.1,30.922664,16.633992
lunedì 06:50:00,lunedì,06:50:00,5158.2,297.4,3586.6,12530.6,21701.4,1044.0666666666666,30.922664,16.633992
lunedì 06:55:00,lunedì,06:55:00,5922.4,71,3334.6,12278.6,21746.8,1144.0333333333333,30.922664,16.633992
lunedì 07:00:00,lunedì,07:00:00,6707.8,9.6,2896.2,12049.6,21780.8,1244,5.490818,12.87466
lunedì 07:05:00,lunedì,07:05:00,7310.6,370.4,2578.2,11700.2,21937.2,1271.8333333333333,5.490818,12.87466
lunedì 07:10:00,lunedì,07:10:00,7961,448.8,2266.2,11541.8,22079,1299.6666666666667,5.490818,12.87466
lunedì 07:15:00,lunedì,07:15:00,8731.2,415.8,1741,11382,22109,1327.5,5.490818,2.0589
lunedì 07:20:00,lunedì,07:20:00,9408.2,303.8,1406.2,11170,22106.4,1355.3333333333333,5.490818,2.0589
lunedì 07:25:00,lunedì,07:25:00,10112,-86,1102,11078.4,22044.8,1383.1666666666667,5.490818,2.0589
lunedì 07:30:00,lunedì,07:30:00,10813.6,-454.2,861.2,10971.2,22027.8,1411,5.490818,-8.349644
lunedì 07:35:00,lunedì,07:35:00,11472.8,-896.4,793.2,10795.6,21985.6,1438.8333333333335,5.490818,-8.349644
lunedì 07:40:00,lunedì,07:40:00,12007.2,-1141.2,641.2,10633.8,21933.4,1466.6666666666665,5.490818,-8.349644
lunedì 07:45:00,lunedì,07:45:00,12407,-1248.2,452.2,10461.6,21851.2,1494.5,5.490818,-16.423282
lunedì 07:50:00,lunedì,07:50:00,12711,-1379.6,290.8,10363.8,21771.2,1522.3333333333335,5.490818,-16.423282
lunedì 07:55:00,lunedì,07:55:00,12954,-1435.4,105,10271.8,21684,1550.1666666666665,5.490818,-16.423282
lunedì 08:00:00,lunedì,08:00:00,13213.6,-1346,-174.4,10154.8,21587,1578,-12.195442,-9.226052
lunedì 08:05:00,lunedì,08:05:00,13749.2,-1182.4,-390.8,9793.4,21610.4,1613.3500000000001,-12.195442,-9.226052
lunedì 08:10:00,lunedì,08:10:00,14163.8,-962.6,-543,9413.8,21653.6,1648.7,-12.195442,-9.226052
lunedì 08:15:00,lunedì,08:15:00,14361.8,-892.4,-744.2,9244.8,21585.8,1684.05,-12.195442,-10.576284000000001
lunedì 08:20:00,lunedì,08:20:00,14568.8,-1094,-741.8,9162.2,21511.2,1719.4,-12.195442,-10.576284000000001
lunedì 08:25:00,lunedì,08:25:00,14712.4,-1262.2,-741.2,9071.8,21404,1754.75,-12.195442,-10.576284000000001
lunedì 08:30:00,lunedì,08:30:00,14756.6,-1431.4,-652.2,9005.2,21304.4,1790.1,-12.195442,-14.983974
lunedì 08:35:00,lunedì,08:35:00,14843.2,-1552.2,-674.6,8969,21209.2,1825.45,-12.195442,-14.983974
lunedì 08:40:00,lunedì,08:40:00,14976.4,-1714.8,-665.4,8889.8,21086.6,1860.8,-12.195442,-14.983974
lunedì 08:45:00,lunedì,08:45:00,15066.6,-1774.6,-731.8,8837,20971.6,1896.15,-12.195442,-14.993984
lunedì 08:50:00,lunedì,08:50:00,15125.8,-1754.8,-838,8789.2,20847.8,1931.5,-12.195442,-14.993984
lunedì 08:55:00,lunedì,08:55:00,15347.8,-1838.2,-1008.4,8690.8,20760.4,1966.85,-12.195442,-14.993984
lunedì 09:00:00,lunedì,09:00:00,15491.8,-1864,-1142.8,8631.6,20674.8,2002.2,-16.273166,-11.73107
lunedì 09:05:00,lunedì,09:05:00,15656.4,-1689.2,-1426.4,8484,20586.4,1988.6666666666665,-16.273166,-11.73107
lunedì 09:10:00,lunedì,09:10:00,15805.8,-1601.8,-1641.8,8410.8,20507,1975.1333333333334,-16.273166,-11.73107
lunedì 09:15:00,lunedì,09:15:00,15926.2,-1652.6,-1792.6,8379.6,20399,1961.6,-16.273166,-12.716456
lunedì 09:20:00,lunedì,09:20:00,16035,-1826.4,-1821.4,8332,20261,1948.0666666666666,-16.273166,-12.716456
lunedì 09:25:00,lunedì,09:25:00,15966.4,-1898.4,-1818.4,8297.4,20110.8,1934.5333333333333,-16.273166,-12.716456
lunedì 09:30:00,lunedì,09:30:00,15869.2,-1894.2,-1842.8,8249.4,19948.8,1921,-16.273166,-15.793806
lunedì 09:35:00,lunedì,09:35:00,15946.6,-1987,-1957.8,8240.4,19827.6,1907.4666666666665,-16.273166,-15.793806
lunedì 09:40:00,lunedì,09:40:00,15965,-2074.6,-1986.2,8220.6,19691.4,1893.9333333333334,-16.273166,-15.793806
lunedì 09:45:00,lunedì,09:45:00,15956,-2152.4,-2025.2,8233,19550,1880.4,-16.273166,-18.417896
lunedì 09:50:00,lunedì,09:50:00,15944.6,-2202.6,-2030.8,8218.6,19432.2,1866.8666666666666,-16.273166,-18.417896
lunedì 09:55:00,lunedì,09:55:00,15991,-2200.4,-2157.6,8175.2,19312.2,1853.3333333333335,-16.273166,-18.417896
lunedì 10:00:00,lunedì,10:00:00,16077.4,-2228,-2248.6,8136.2,19222.2,1839.8,-16.563708,-13.359402
lunedì 10:05:00,lunedì,10:05:00,16438.6,-2683.2,-2208.4,8095.6,19211.8,1849.8666666666668,-16.563708,-13.359402
lunedì 10:10:00,lunedì,10:10:00,16557.2,-2837,-2265.6,8041.8,19036.2,1859.9333333333334,-16.563708,-13.359402
lunedì 10:15:00,lunedì,10:15:00,16513.6,-2842.4,-2334.8,8054.8,18945.8,1870,-16.563708,-15.144108
lunedì 10:20:00,lunedì,10:20:00,16532.4,-2875,-2396.2,8010,18797.6,1880.0666666666666,-16.563708,-15.144108
lunedì 10:25:00,lunedì,10:25:00,16557.8,-2988.2,-2417.6,7967.8,18690,1890.1333333333332,-16.563708,-15.144108
lunedì 10:30:00,lunedì,10:30:00,16573.2,-3096.8,-2380.6,7939.4,18588.2,1900.2,-16.563708,-18.52975
lunedì 10:35:00,lunedì,10:35:00,16566,-3075.6,-2517.8,7888.4,18427.6,1910.2666666666667,-16.563708,-18.52975
lunedì 10:40:00,lunedì,10:40:00,16635.4,-3112.4,-2576.4,7856,18322.8,1920.3333333333333,-16.563708,-18.52975
lunedì 10:45:00,lunedì,10:45:00,16745.4,-3249.8,-2657.8,7861,18242.2,1930.4,-16.563708,-20.635574
lunedì 10:50:00,lunedì,10:50:00,16787.4,-3318.6,-2742.8,7854,18123.6,1940.4666666666667,-16.563708,-20.635574
lunedì 10:55:00,lunedì,10:55:00,16817.2,-3436.8,-2809.2,7857,17997.4,1950.5333333333333,-16.563708,-20.635574
lunedì 11:00:00,lunedì,11:00:00,16864.8,-3444.6,-2889.6,7826.6,17867.2,1960.6,-18.010444,-19.677158
